"source";"record_id";"listing_id";"canonical_url";"url";"segment";"segment_url";"quicklink_count";"page_number";"position_on_page";"status";"run_marker";"collected_at";"parsed_at";"error"
"cian";"cian_330114673";"330114673";"https://www.cian.ru/sale/flat/330114673/";"https://krasnogorsk.cian.ru/sale/flat/330114673/?context=4.Fs56lw_bEeA._a85LMl_Rfp5mE_f8yqv-fBgRCQVRCW8GQ8hNKbvLj-bEZHb8DEZk6WvVXYcWaX3VIx66hYmPJnG6w&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"11";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:12:53";""
"cian";"cian_328782523";"328782523";"https://www.cian.ru/sale/flat/328782523/";"https://mytishchi.cian.ru/sale/flat/328782523/?context=4.h2pmMPKti9Q.ycRWbtr2BRpMJ8raaOfaNvuY5bGNbQYWwzZe-IyxHngz_nMVo3l1Di6vZLodZyA1VlczndJgEmhK5Q&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"12";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:13:06";""
"cian";"cian_325482920";"325482920";"https://www.cian.ru/sale/flat/325482920/";"https://balashikha.cian.ru/sale/flat/325482920/?context=4.EcyoUAbDG4k.1fL8soElA4aj155LQWSryElmFuf4I7QcN7VlXLyIUfmKJl73jGzSsubmVJ8rUsukV6QQR6BV6S_3Og&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"13";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:13:18";""
"cian";"cian_330476978";"330476978";"https://www.cian.ru/sale/flat/330476978/";"https://krasnogorsk.cian.ru/sale/flat/330476978/?context=4.ykiTPFy4xNU.QC6EBL0SepKQppKDdoERyu14UAn60RFFxknAFyAr7Ot6iit5Ej7yEMQUhWW0GQeVRdgv_upZowMJZQ&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"14";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:13:32";""
"cian";"cian_330925978";"330925978";"https://www.cian.ru/sale/flat/330925978/";"https://khimki.cian.ru/sale/flat/330925978/?context=4.ABezwzzS-98.Nud-IZAf-D-AqN4YcgAmfvZkPWEZPFUqEJ4PhjLNPTteikP9q9jpY-oT65aElk-QTjrUSiXe3Mec5Q&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"15";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:13:46";""
"cian";"cian_285450791";"285450791";"https://www.cian.ru/sale/flat/285450791/";"https://zvenigorod.cian.ru/sale/flat/285450791/?context=4.GcrmCJh6KJQ.7gKb0KjxBTksd_hxIkaFSQPI5FrZAGsI9mtcGsfSVgoYjFzzMg6ZMr6AZ6o7yeunhSLwEsh4-O_FBQ&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"16";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:13:59";""
"cian";"cian_329655189";"329655189";"https://www.cian.ru/sale/flat/329655189/";"https://chekhov.cian.ru/sale/flat/329655189/?context=4.OL-Un6S8CAE.VSfcy45zMkYUAQMzYxISEydNW2h2xFEQdxBG57zc1g8XXc24yOJU7q_UzSre75O9T0ZOyE-yGGugSA&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"17";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:14:13";""
"cian";"cian_329215737";"329215737";"https://www.cian.ru/sale/flat/329215737/";"https://krasnogorsk.cian.ru/sale/flat/329215737/?context=4.QoUSsHsUzck.3dAw12Df8qwoFsEPsZqUgHZD2PsptEA4dQrcy7xW3OfEmo2gf-bvGl3c7bbBROI59r2ODtkYIClfhw&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"18";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:14:27";""
"cian";"cian_326345060";"326345060";"https://www.cian.ru/sale/flat/326345060/";"https://zvenigorod.cian.ru/sale/flat/326345060/?context=4.ezVe1TQs8Ik.DiTxrdKV9ouoqdybaFsPk_z3fCDXhnstl94voc6dNmbnCIVP4m9ckiam_DRJ1TrYIE9zo-DB4vHIww&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"19";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:14:40";""
"cian";"cian_330547958";"330547958";"https://www.cian.ru/sale/flat/330547958/";"https://balashikha.cian.ru/sale/flat/330547958/?context=4.XPB52jdGZLg.bOXf_S6dxvKNIfusrEQuZZSZ857oKGcW1sGfitfs9ieqjP0ASu3UI1wNbhIJ5rrfw7RFtuibrhgB5Q&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"1";"20";"done";"";"2026-06-13 00:24:23";"2026-06-13 01:14:53";""
