source,source_listing_id,url,parsed_at,link_collected_at,price_rub,price_m2_rub,lat,lon,region,okrug,settlement,street,address,rooms,is_studio,total_area_m2,kitchen_area_m2,living_area_m2,kitchen_area_share,living_area_share,floor,floors_total,floor_ratio,floor_group,is_first_floor,is_last_floor,house_year,house_age,is_new_building_year,ceiling_height_m,house_type,property_format,housing_market,housing_class,housing_class_rank,heating_type,overlap_type,gas_supply_type,redevelopment_status,ownership_share_fraction,is_share_sale,repair_type,finish_type,finish_rank,sale_type,bathroom_type,bathroom_combined_count,bathroom_separate_count,bathroom_total_count,passenger_elevator_count,freight_elevator_count,elevator_total_count,has_elevator,metro_min_listed,metro_count_listed,mkad_distance_km,balcony_count,loggia_count,balcony_loggia_type,is_apartment_format,is_penthouse_format,has_balcony,has_loggia,windows_yard,windows_street,windows_park_or_forest,windows_water,windows_sunny,windows_panoramic,windows_two_sides,windows_quiet,windows_view_count,parking_underground,parking_surface,parking_multilevel,parking_yard,parking_open_yard,parking_barrier,parking_guest,yard_closed,yard_playground,yard_sportground,yard_no_cars,yard_barrier,has_furniture,has_kitchen_furniture,has_wardrobe_storage,has_sleeping_places,furniture_set,has_fridge,has_washer,has_dishwasher,has_ac,has_water_heater,has_oven,has_cooktop,has_hood,has_appliances,appliances_set,mortgage_possible,one_owner,no_encumbrance,quick_deal,has_warm_floor,is_emergency_house,has_ramp,has_minor_owners,maternity_capital_used,has_garbage_chute,has_concierge,entrance_clean,entrance_needs_repair,has_security,has_storage_room,has_mall_nearby_text,has_park_nearby_text,has_school_nearby_text,has_kindergarten_nearby_text,description_len_chars,description_len_words,repair_source,finish_source,house_type_source,ceiling_height_source,osm_metro_count_1000m,osm_metro_nearest_1000m,has_metro_1000m,osm_park_count_1000m,osm_park_nearest_1000m,has_park_1000m,osm_school_count_1000m,osm_school_nearest_1000m,has_school_1000m,osm_kindergarten_count_1000m,osm_kindergarten_nearest_1000m,has_kindergarten_1000m,osm_hospital_clinic_count_1000m,osm_hospital_clinic_nearest_1000m,has_hospital_clinic_1000m,osm_pharmacy_count_1000m,osm_pharmacy_nearest_1000m,has_pharmacy_1000m,osm_supermarket_count_1000m,osm_supermarket_nearest_1000m,has_supermarket_1000m,osm_public_transport_stop_count_1000m,osm_public_transport_stop_nearest_1000m,has_public_transport_stop_1000m,osm_cafe_restaurant_count_1000m,osm_cafe_restaurant_nearest_1000m,has_cafe_restaurant_1000m,osm_fitness_sport_count_1000m,osm_fitness_sport_nearest_1000m,has_fitness_sport_1000m,osm_total_poi_count_1000m,infrastructure_score_1000m,log1p_osm_metro_count_1000m,log1p_osm_park_count_1000m,log1p_osm_school_count_1000m,log1p_osm_kindergarten_count_1000m,log1p_osm_hospital_clinic_count_1000m,log1p_osm_pharmacy_count_1000m,log1p_osm_supermarket_count_1000m,log1p_osm_public_transport_stop_count_1000m,log1p_osm_cafe_restaurant_count_1000m,log1p_osm_fitness_sport_count_1000m,log1p_osm_total_poi_count_1000m,osm_features_available,osm_radius_m,address_exact,address_zone,residential_complex,building_key,metro_primary,geo_cell_2000m,geo_cell_1000m,geo_cell_500m,geo_cell_200m,listing_density_250m,listing_density_500m,listing_density_1000m,listing_density_2000m,listing_density_5000m,listing_density_10000m,nearest_listing_distance_m,ext_cafe_restaurant_count_250m,ext_cafe_restaurant_count_500m,ext_cafe_restaurant_count_750m,ext_fitness_sport_count_250m,ext_fitness_sport_count_500m,ext_fitness_sport_count_750m,ext_hospital_clinic_count_250m,ext_hospital_clinic_count_500m,ext_hospital_clinic_count_750m,ext_kindergarten_count_250m,ext_kindergarten_count_500m,ext_kindergarten_count_750m,ext_metro_count_250m,ext_metro_count_500m,ext_metro_count_750m,ext_park_count_250m,ext_park_count_500m,ext_park_count_750m,ext_pharmacy_count_250m,ext_pharmacy_count_500m,ext_pharmacy_count_750m,ext_public_transport_stop_count_250m,ext_public_transport_stop_count_500m,ext_public_transport_stop_count_750m,ext_school_count_250m,ext_school_count_500m,ext_school_count_750m,ext_supermarket_count_250m,ext_supermarket_count_500m,ext_supermarket_count_750m,ext_total_poi_count_250m,ext_total_poi_count_500m,ext_total_poi_count_750m,distance_to_moscow_center_km,approx_mkad_distance_km,inside_approx_mkad,center_bearing_sin,center_bearing_cos
avito,8080847434,https://www.avito.ru/sergiev_posad/kvartiry/2-k._kvartira_42_m_35_et._8080847434?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5WDNTdEhqbE5LeVlOdjQxIjt9Uf-scD8AAAA,2026-06-07 15:01:56,2026-06-06 11:48:59,5200000.0,123810.0,56.30071872452864,38.17947852539635,,,,,"Московская обл., Сергиево-Посадский г.о., Сергиев Посад, ул. Победы, 2",2.0,0,42.0,6.0,,0.1428571428571428,,3.0,5.0,0.6,middle,0,0,1983.0,43.0,0,2.7,brick,flat,unknown,unknown,,unknown,unknown,unknown,unknown,,0,cosmetic,unknown,,free_sale,combined,1,0,1,0,0,0,0,,0,,1.0,0.0,balcony,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,kitchen|sleeping,1,1,0,0,0,0,0,0,1,fridge|washer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,80,existing,missing,existing,existing,0.0,,0.0,8.0,389.1,1.0,3.0,230.3,1.0,2.0,309.2,1.0,3.0,121.0,1.0,3.0,124.1,1.0,12.0,47.0,1.0,17.0,198.3,1.0,5.0,13.1,1.0,4.0,261.3,1.0,57.0,54.5,0.0,2.19722457733622,1.3862943611198906,1.0986122886681098,1.3862943611198906,1.3862943611198906,2.5649493574615367,2.8903717578961645,1.791759469228055,1.6094379124341005,4.060443010546419,1,1000.0,"московская обл., сергиево-посадский г.о., сергиев посад, ул. победы, 2","московская обл., сергиево-посадский г.о., сергиев посад",unknown,unknown,unknown,2815_1908,5630_3817,11260_7635,28150_19089,2.0,2.0,2.0,4.0,35.0,43.0,102.07559234661531,1.0,3.0,5.0,0.0,2.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,2.0,2.0,1.0,6.0,11.0,1.0,2.0,2.0,4.0,7.0,9.0,9.0,27.0,41.0,70.34479491949418,53.144794919494174,0.0,0.49206649194094476,0.8705576187185614
avito,8179440015,https://www.avito.ru/domodedovo/kvartiry/2-k._kvartira_58_m_1517_et._8179440015?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5WDNTdEhqbE5LeVlOdjQxIjt9Uf-scD8AAAA,2026-06-07 15:02:14,2026-06-06 11:48:59,9500000.0,163793.0,55.44992828,37.73681641,,,,,"Московская обл., Домодедово, мкр-н Северный, ул. Гагарина, 63",2.0,0,58.0,16.0,25.0,0.2758620689655172,0.4310344827586206,15.0,17.0,0.8823529411764706,high,0,0,2019.0,7.0,0,2.7,block,flat,unknown,unknown,,unknown,unknown,unknown,unknown,,0,euro,unknown,,alternative,combined,1,0,1,1,1,2,1,,0,,1.0,1.0,both,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,kitchen,0,0,0,0,0,0,0,0,0,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,54,existing,missing,existing,existing,0.0,,0.0,4.0,359.6,1.0,2.0,416.6,1.0,4.0,135.7,1.0,2.0,660.9,1.0,5.0,314.1,1.0,17.0,148.5,1.0,14.0,110.4,1.0,3.0,313.2,1.0,1.0,678.7,1.0,52.0,49.5,0.0,1.6094379124341005,1.0986122886681098,1.6094379124341005,1.0986122886681098,1.791759469228055,2.8903717578961645,2.70805020110221,1.3862943611198906,0.6931471805599453,3.970291913552122,1,1000.0,"московская обл., домодедово, мкр-н северный, ул. гагарина, 63","московская обл., домодедово, мкр-н северный",unknown,unknown,unknown,2772_1886,5544_3773,11089_7547,27724_18868,1.0,3.0,9.0,48.0,80.0,258.0,0.11964888766033153,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,5.0,3.0,6.0,10.0,0.0,2.0,2.0,2.0,10.0,15.0,7.0,27.0,46.0,34.320347181418285,17.120347181418285,0.0,0.21754162147748346,-0.9760510452455585
avito,8090249478,https://www.avito.ru/noginsk/kvartiry/2-k._kvartira_45_m_45_et._8090249478?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5WDNTdEhqbE5LeVlOdjQxIjt9Uf-scD8AAAA,2026-06-07 15:02:32,2026-06-06 11:48:59,3400000.0,75556.0,55.88266754,38.44494629,,,,,"Московская обл., Богородский г.о., Ногинск, ул. Текстилей, 15Б",2.0,0,45.0,6.0,31.0,0.1333333333333333,0.6888888888888889,4.0,5.0,0.8,high,0,0,,,0,2.6,panel,flat,unknown,unknown,,unknown,unknown,unknown,unknown,,0,no_repair,unknown,,free_sale,combined,1,0,1,0,0,0,0,,0,,1.0,0.0,balcony,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,415,68,existing,missing,existing,existing,0.0,,0.0,16.0,278.6,1.0,5.0,129.9,1.0,9.0,375.9,1.0,4.0,266.9,1.0,4.0,354.9,1.0,10.0,232.0,1.0,15.0,262.6,1.0,5.0,364.3,1.0,0.0,,0.0,68.0,77.0,0.0,2.833213344056216,1.791759469228055,2.302585092994046,1.6094379124341005,1.6094379124341005,2.3978952727983707,2.772588722239781,1.791759469228055,0.0,4.23410650459726,1,1000.0,"московская обл., богородский г.о., ногинск, ул. текстилей, 15б","московская обл., богородский г.о., ногинск",unknown,unknown,unknown,2794_1922,5588_3844,11176_7688,27941_19222,0.0,1.0,6.0,10.0,34.0,71.0,274.11785487581716,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,2.0,3.0,0.0,4.0,8.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,18.0,37.0,53.66360538847609,36.4636053884761,0.0,0.9605668089135035,0.27804928630321785
avito,8183773595,https://www.avito.ru/serpuhov/kvartiry/2-k._kvartira_49_m_25_et._8183773595?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5WDNTdEhqbE5LeVlOdjQxIjt9Uf-scD8AAAA,2026-06-07 15:02:49,2026-06-06 11:48:59,5700000.0,116327.0,54.92142868,37.40899277,,,,,"Московская обл., Серпухов, ул. Володарского, 33",2.0,0,49.0,5.0,41.6,0.1020408163265306,0.8489795918367348,2.0,5.0,0.4,middle,0,0,1974.0,52.0,0,2.7,brick,flat,unknown,unknown,,unknown,unknown,unknown,unknown,,0,euro,unknown,,free_sale,separate,0,1,1,0,0,0,0,,0,,1.0,0.0,balcony,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,kitchen|storage,1,1,0,1,0,0,0,0,1,ac|fridge|washer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,77,existing,missing,existing,existing,0.0,,0.0,22.0,110.7,1.0,3.0,370.5,1.0,1.0,418.6,1.0,7.0,459.5,1.0,8.0,287.4,1.0,26.0,112.1,1.0,24.0,125.3,1.0,18.0,461.5,1.0,3.0,452.3,1.0,112.0,109.0,0.0,3.1354942159291497,1.3862943611198906,0.6931471805599453,2.079441541679836,2.19722457733622,3.295836866004329,3.218875824868201,2.9444389791664403,1.3862943611198906,4.727387818712341,1,1000.0,"московская обл., серпухов, ул. володарского, 33","московская обл., серпухов, ул. володарского",unknown,unknown,unknown,2746_1870,5492_3740,10984_7481,27460_18704,1.0,1.0,6.0,11.0,36.0,38.0,207.34387207289228,0.0,1.0,3.0,0.0,1.0,3.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,9.0,0.0,2.0,6.0,2.0,7.0,13.0,0.0,1.0,1.0,4.0,9.0,17.0,9.0,27.0,57.0,93.21690705633652,76.01690705633652,0.0,-0.14357697267558567,-0.9896391528821574
avito,8052041428,https://www.avito.ru/sergiev_posad/kvartiry/2-k._kvartira_51_m_1017_et._8052041428?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5WDNTdEhqbE5LeVlOdjQxIjt9Uf-scD8AAAA,2026-06-07 15:03:08,2026-06-06 11:48:59,8500000.0,166667.0,56.33314,38.155969,,,,,"Московская обл., Сергиево-Посадский г.о., Сергиев Посад, пр-т Красной Армии, 251А",2.0,0,51.0,7.0,21.7,0.1372549019607843,0.4254901960784313,10.0,17.0,0.5882352941176471,middle,0,0,,,0,,monolith,flat,unknown,unknown,,gas,unknown,unknown,none,,0,euro,unknown,,free_sale,combined,1,0,1,2,0,2,1,10.0,0,,0.0,1.0,loggia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,general,0,0,0,0,0,0,0,0,1,general,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1153,140,existing,missing,existing,missing,0.0,,0.0,11.0,174.2,1.0,2.0,396.4,1.0,1.0,373.5,1.0,1.0,30.6,1.0,9.0,337.0,1.0,16.0,18.9,1.0,11.0,66.4,1.0,6.0,642.6,1.0,1.0,681.1,1.0,58.0,57.5,0.0,2.4849066497880004,1.0986122886681098,0.6931471805599453,0.6931471805599453,2.302585092994046,2.833213344056216,2.4849066497880004,1.9459101490553128,0.6931471805599453,4.07753744390572,1,1000.0,"московская обл., сергиево-посадский г.о., сергиев посад, пр-т красной армии, 251а","московская обл., сергиево-посадский г.о., сергиев посад",unknown,unknown,unknown,2816_1907,5633_3815,11266_7631,28166_19077,1.0,3.0,10.0,21.0,40.0,46.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,7.0,0.0,2.0,8.0,2.0,3.0,7.0,0.0,1.0,1.0,2.0,5.0,13.0,7.0,17.0,41.0,72.80974368195787,55.609743681957866,0.0,0.45510177164398713,0.8904394294091564
avito,7691633931,https://www.avito.ru/vidnoe/kvartiry/2-k._kvartira_581_m_1016_et._7691633931?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5WDNTdEhqbE5LeVlOdjQxIjt9Uf-scD8AAAA,2026-06-07 15:03:23,2026-06-06 11:48:59,10350000.0,178141.0,55.536075464134,37.6197890297432,,,,,"Московская обл., Ленинский г.о., пгт. Боброво, Лесная ул., 16к1",2.0,0,58.1,12.0,30.0,0.2065404475043029,0.5163511187607573,10.0,16.0,0.625,middle,0,0,2023.0,3.0,0,2.6,monolith,flat,unknown,unknown,,unknown,unknown,unknown,unknown,,0,cosmetic,unknown,,alternative,mixed,1,1,2,1,1,2,1,31.0,1,,0.0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,561,77,existing,missing,existing,existing,0.0,,0.0,5.0,171.8,1.0,2.0,255.4,1.0,4.0,151.3,1.0,2.0,294.7,1.0,10.0,103.4,1.0,13.0,223.1,1.0,12.0,410.3,1.0,9.0,61.6,1.0,0.0,,0.0,57.0,48.0,0.0,1.791759469228055,1.0986122886681098,1.6094379124341005,1.0986122886681098,2.3978952727983707,2.6390573296152584,2.5649493574615367,2.302585092994046,0.0,4.060443010546419,1,1000.0,"московская обл., ленинский г.о., пгт. боброво, лесная ул., 16к1","московская обл., ленинский г.о., пгт. боброво",unknown,unknown,улица скобелевская (от 31 мин.),2776_1880,5553_3761,11107_7523,27768_18809,1.0,4.0,10.0,77.0,111.0,355.0,31.8922714152673,2.0,6.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,6.0,8.0,0.0,2.0,6.0,0.0,2.0,2.0,1.0,5.0,8.0,7.0,26.0,38.0,23.925803119000978,6.725803119000979,0.0,0.0035926053678567034,-0.999993546572512
avito,8191570434,https://www.avito.ru/noginsk/kvartiry/2-k._kvartira_45_m_35_et._8191570434?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5WDNTdEhqbE5LeVlOdjQxIjt9Uf-scD8AAAA,2026-06-07 15:03:42,2026-06-06 11:48:59,3500000.0,77778.0,55.880404356635786,38.45240131120794,,,,,"Московская обл., Богородский г.о., Ногинск, ул. Советской Конституции, 17В",2.0,0,45.0,6.0,31.0,0.1333333333333333,0.6888888888888889,3.0,5.0,0.6,middle,0,0,1968.0,58.0,0,2.6,panel,flat,unknown,unknown,,unknown,unknown,unknown,unknown,,0,no_repair,unknown,,free_sale,combined,1,0,1,0,0,0,0,,0,,1.0,0.0,balcony,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,322,37,existing,missing,existing,existing,0.0,,0.0,23.0,366.8,1.0,3.0,283.2,1.0,4.0,152.8,1.0,6.0,148.0,1.0,3.0,442.6,1.0,13.0,318.6,1.0,15.0,164.5,1.0,10.0,383.1,1.0,0.0,,0.0,77.0,88.5,0.0,3.1780538303479458,1.3862943611198906,1.6094379124341005,1.9459101490553128,1.3862943611198906,2.6390573296152584,2.772588722239781,2.3978952727983707,0.0,4.356708826689592,1,1000.0,"московская обл., богородский г.о., ногинск, ул. советской конституции, 17в","московская обл., богородский г.о., ногинск",unknown,unknown,unknown,2794_1922,5588_3845,11176_7690,27940_19226,0.0,0.0,2.0,12.0,34.0,72.0,528.7021489026826,0.0,4.0,9.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,1.0,2.0,2.0,7.0,9.0,0.0,2.0,3.0,0.0,2.0,4.0,5.0,26.0,44.0,54.04592943520991,36.84592943520991,0.0,0.9624301383458204,0.27152942529980995
avito,8107141654,https://www.avito.ru/reutov/kvartiry/2-k._kvartira_605_m_1425_et._8107141654?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5WDNTdEhqbE5LeVlOdjQxIjt9Uf-scD8AAAA,2026-06-07 15:03:58,2026-06-06 11:48:59,13800000.0,228099.0,55.753367,37.87617,,,,,"Московская обл., Реутов, Юбилейный пр-т, 45",2.0,0,60.5,9.7,43.0,0.1603305785123966,0.7107438016528925,14.0,25.0,0.56,middle,0,0,2024.0,2.0,0,3.0,monolith,flat,unknown,unknown,,unknown,unknown,unknown,none,,0,no_repair,unknown,,free_sale,separate,0,1,1,3,1,4,1,18.0,3,,0.0,1.0,loggia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,846,124,existing,missing,existing,existing,0.0,,0.0,19.0,217.9,1.0,5.0,365.7,1.0,19.0,71.7,1.0,20.0,152.2,1.0,40.0,95.0,1.0,74.0,92.2,1.0,39.0,167.1,1.0,70.0,94.2,1.0,8.0,126.4,1.0,294.0,215.0,0.0,2.995732273553991,1.791759469228055,2.995732273553991,3.044522437723423,3.713572066704308,4.31748811353631,3.688879454113936,4.262679877041316,2.19722457733622,5.68697535633982,1,1000.0,"московская обл., реутов, юбилейный пр-т, 45","московская обл., реутов, юбилейный пр-т",unknown,unknown,реутов (16–20 мин.),2787_1893,5575_3787,11150_7575,27876_18938,2.0,4.0,10.0,40.0,75.0,593.0,77.53025949023746,7.0,27.0,54.0,2.0,3.0,5.0,4.0,13.0,18.0,4.0,12.0,17.0,0.0,0.0,0.0,1.0,5.0,13.0,5.0,18.0,32.0,3.0,5.0,23.0,0.0,2.0,3.0,8.0,30.0,59.0,34.0,115.0,224.0,16.130843457811068,1.0691565421889315,1.0,0.9998639727405937,0.016493514343443646
avito,7954774230,https://www.avito.ru/balashiha/kvartiry/2-k._kvartira_411_m_817_et._7954774230?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5WDNTdEhqbE5LeVlOdjQxIjt9Uf-scD8AAAA,2026-06-07 15:04:17,2026-06-06 11:48:59,7950000.0,193431.0,55.7296257,38.0308876,,,,,"Московская обл., Балашиха, мкр-н Саввино, Саввинская ул., 3",2.0,0,41.1,12.0,,0.291970802919708,,8.0,17.0,0.4705882352941176,middle,0,0,2014.0,12.0,0,2.7,block,flat,unknown,unknown,,unknown,unknown,unknown,exists,,0,designer,unknown,,free_sale,combined,1,0,1,1,1,2,1,31.0,1,,1.0,0.0,balcony,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,kitchen|sleeping,1,1,0,1,0,0,0,0,1,ac|fridge|washer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,336,44,existing,missing,existing,existing,0.0,,0.0,10.0,212.8,1.0,2.0,258.2,1.0,3.0,61.3,1.0,6.0,261.3,1.0,8.0,68.9,1.0,17.0,107.4,1.0,16.0,191.1,1.0,6.0,121.8,1.0,2.0,320.6,1.0,70.0,68.0,0.0,2.3978952727983707,1.0986122886681098,1.3862943611198906,1.9459101490553128,2.19722457733622,2.8903717578961645,2.833213344056216,1.9459101490553128,1.0986122886681098,4.262679877041316,1,1000.0,"московская обл., балашиха, мкр-н саввино, саввинская ул., 3","московская обл., балашиха, мкр-н саввино",unknown,unknown,железнодорожная (от 31 мин.),2786_1901,5572_3803,11145_7606,27864_19015,3.0,3.0,4.0,130.0,204.0,476.0,61.32376063268195,4.0,5.0,5.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,5.0,3.0,3.0,7.0,2.0,5.0,12.0,0.0,2.0,2.0,4.0,9.0,12.0,15.0,30.0,51.0,25.930421268064126,8.730421268064127,0.0,0.9959651706178183,-0.08974062021303408
avito,8032793534,https://www.avito.ru/zhukovskiy/kvartiry/2-k._kvartira_538_m_218_et._8032793534?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5WDNTdEhqbE5LeVlOdjQxIjt9Uf-scD8AAAA,2026-06-07 15:04:35,2026-06-06 11:48:59,9092200.0,169000.0,55.60116,38.08297,,,,,"ул. Гудкова, стр. 3",2.0,0,53.8,12.2,,0.2267657992565055,,2.0,18.0,0.1111111111111111,low,0,0,,,0,,monolith,flat,new_building,comfort,2.0,unknown,unknown,unknown,unknown,,0,designer,no_finish,0.0,ddu,unknown,0,0,0,0,0,0,0,25.5,2,,0.0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,85,description,existing,existing,missing,0.0,,0.0,164.0,251.6,1.0,11.0,584.7,1.0,7.0,369.8,1.0,7.0,201.8,1.0,24.0,200.4,1.0,36.0,273.6,1.0,25.0,131.1,1.0,26.0,206.6,1.0,5.0,349.5,1.0,305.0,426.0,0.0,5.10594547390058,2.4849066497880004,2.079441541679836,2.079441541679836,3.218875824868201,3.610917912644224,3.258096538021482,3.295836866004329,1.791759469228055,5.723585101952381,1,1000.0,"ул. гудкова, стр. 3",ул. гудкова,жк «гранд комфорт»,этап 3,ильинская (21–30 мин.),2780_1904,5560_3808,11120_7616,27800_19041,13.0,13.0,25.0,33.0,69.0,243.0,0.0,4.0,10.0,14.0,0.0,4.0,5.0,1.0,5.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,93.0,1.0,3.0,11.0,2.0,3.0,14.0,0.0,0.0,4.0,0.0,6.0,19.0,8.0,55.0,168.0,33.568929930086895,16.368929930086896,0.0,0.8693299225340837,-0.49423221848325916
avito,8193704146,https://www.avito.ru/krasnoarmeysk/kvartiry/2-k._kvartira_511_m_916_et._8193704146?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5WDNTdEhqbE5LeVlOdjQxIjt9Uf-scD8AAAA,2026-06-07 15:04:54,2026-06-06 11:48:59,8431500.0,165000.0,56.1002,38.11672,,,,,"ул. Краснофлотская, д. 9А",2.0,0,51.1,10.1,28.0,0.197651663405088,0.547945205479452,9.0,16.0,0.5625,middle,0,0,,,0,3.0,monolith,flat,unknown,unknown,,unknown,unknown,unknown,unknown,,0,unknown,no_finish,0.0,dkp,separate,0,1,1,1,1,2,1,,0,,0.0,0.0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,52,missing,existing,existing,existing,0.0,,0.0,3.0,433.5,1.0,1.0,640.0,1.0,4.0,121.1,1.0,0.0,,0.0,1.0,500.6,1.0,7.0,132.1,1.0,12.0,365.5,1.0,3.0,487.4,1.0,1.0,498.1,1.0,32.0,30.5,0.0,1.3862943611198906,0.6931471805599453,1.6094379124341005,0.0,0.6931471805599453,2.079441541679836,2.5649493574615367,1.3862943611198906,0.6931471805599453,3.49650756146648,1,1000.0,"ул. краснофлотская, д. 9а",ул. краснофлотская,жк «краснофлотская»,unknown,unknown,2805_1905,5610_3811,11220_7623,28050_19058,5.0,7.0,7.0,7.0,9.0,10.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,10.0,0.0,0.0,1.0,1.0,5.0,7.0,4.0,18.0,27.0,49.6917305801201,32.491730580120105,0.0,0.6219014457426228,0.7830955189395706
