price_rub,lat,lon,total_area_m2,rooms,floor_ratio,house_year,housing_market,property_format,source,address_exact,residential_complex
10939881.0,55.94922,37.46862,43.4,1.0,0.3333333333333333,,unknown,flat,avito,"кв-л ивакино, стр.1.3",жк «1-й химкинский»
10114560.0,55.90924,37.78615,38.4,1.0,0.4,,new_building,flat,avito,"ярославское ш., стр. 2.2",ярославский квартал
5077016.0,55.63949,37.94882,22.8,1.0,0.3333333333333333,,new_building,flat,avito,"московская область, городской округ люберцы, поселок жилино-1, жилой комплекс егорово парк, стр. 4.1",жк «егорово парк»
8477400.0,55.52237,37.61232,35.5,1.0,0.08,,new_building,flat,avito,"с/п булатниковское, д. боброво, мкр. «боброво», корп. 55",восточное бутово
4800000.0,55.601142,37.170822,24.8,1.0,0.4444444444444444,2015.0,unknown,flat,avito,"москва, новомосковский административный округ, поселение кокошкино, дп. кокошкино, ул. ленина, 12",unknown
5768100.0,55.45219,37.54058,37.7,1.0,0.35294117647058826,,new_building,flat,avito,"ул. садовая, д. 14",жк «красная горка»
8949087.0,55.8074,37.31868,32.5,1.0,0.88,,new_building,flat,avito,"туп. ильинский, стр. 3",жк «ильинойс»
6950859.0,55.54744,37.65085,36.2,1.0,0.125,,new_building,flat,avito,"д. спасское, жк «живописный»",жк «живописный»
6508350.0,55.72594,36.87172,40.5,1.0,0.8333333333333334,,new_building,flat,avito,"мкр. №2, корп. 1",жк «малиново»
5134272.0,56.25583,37.97202,33.0,1.0,0.8888888888888888,,unknown,flat,avito,"ул. михеенко, д. 25, корп. 6",жк «олимп»
9392354.0,55.92405,37.4359,42.6,1.0,0.4,,new_building,flat,avito,"ул. озерная, стр. 6",жк «мишино-2»
7350000.0,55.96603,37.30737,35.7,1.0,0.3,2026.0,unknown,flat,avito,"ул. первомайская, стр. 2, секц. 2-4",жк «ласточкино»
7509688.0,55.82056,37.21042,34.3,1.0,0.5,,new_building,flat,avito,"ул. береговая, стр. 1.1",жк «аникеевский»
5876042.0,55.36575,37.50618,41.4,1.0,1.0,,new_building,flat,avito,"ул. школьная, д. 41",жк «школьный»
11808418.0,55.87155,37.38944,40.5,1.0,0.29411764705882354,,new_building,flat,avito,"деревня путилково, жилой комплекс большое путилково, 28",жк «большое путилково»
14295219.0,55.80745,37.38186,31.2,1.0,0.7916666666666666,,new_building,flat,avito,"московская область, красногорск, жилой комплекс квартал строгино, к2",жк «квартал строгино»
8000000.0,55.58222,37.15314,35.4,1.0,0.3333333333333333,,new_building,flat,avito,"москва, новомосковский административный округ, район внуково, жилой комплекс квартал западный, 9",жк «квартал западный»
9689440.0,55.65533,37.87162,36.8,1.0,0.7058823529411765,,new_building,flat,avito,"яничкин пр-д, з/у 6/11",белая дача парк
12669665.0,55.51879,37.07037,58.1,1.0,1.0,,new_building,flat,avito,"д. мартемьяново, стр. 2",мартемьяново клаб
6088800.0,55.721,36.87177,47.2,1.0,0.4375,,new_building,flat,avito,"мкр. № 2, 3, стр. 6",жк «восточный»
8829219.0,55.93821,37.84628,36.1,1.0,0.4166666666666667,,new_building,flat,avito,"московская область, королев, микрорайон юбилейный, жилой комплекс космический квартал, к1",жк «космический квартал»
10970350.0,55.88103,37.41115,30.1,1.0,0.07142857142857142,,new_building,flat,avito,"куркинское ш., корп. 1",жк «лесная коллекция»
10571600.0,55.76603,37.21311,42.8,1.0,1.0,,new_building,flat,avito,"д. глухово, стр. 4.3",ильинские луга
6088800.0,55.721,36.87177,47.2,1.0,0.75,,new_building,flat,avito,"мкр. № 2, 3, стр. 6",жк «восточный»
16240470.0,55.68201,37.41096,38.3,1.0,0.8888888888888888,,new_building,flat,avito,"п. свх заречье, ул. торговая, д. 7",жк «skolkovo one» (сколково ван)
6900000.0,55.94507,37.09488,41.6,1.0,0.25,,unknown,flat,avito,"д. бакеево, кв-л «бакеево парк», стр. 5",жк «бакеево парк»
9728000.0,55.65997,37.28946,34.4,1.0,0.16666666666666666,2025.0,new_building,flat,avito,"ул. верхне-пролетарская/сосновая, стр. 3",жк «союзный»
6843456.0,56.00717,37.87459,43.6,1.0,0.5882352941176471,,new_building,flat,avito,"ш. ярославское, д. 194",жк «серебро»
7465920.0,55.94179,37.87448,35.2,1.0,0.25,,new_building,flat,avito,"ул. солнечная, д. 2",жилой «киноквартал»
7568357.0,56.06153,37.35931,37.9,1.0,0.4,,unknown,flat,avito,"проезд 3-ий восточный, д. 2",жк «зеленый оазис-город»
6794241.0,55.95996,37.68489,34.8,1.0,0.3076923076923077,,new_building,flat,avito,"д. болтино, стр. 1.1",жк «императорские мытищи»
10063628.0,55.89797,37.24997,34.8,1.0,0.4166666666666667,,new_building,flat,avito,"деревня юрлово, жилой комплекс пятницкие луга, к2/2",жк «пятницкие луга»
10347381.0,55.82728,37.93604,44.4,1.0,1.0,,unknown,flat,avito,"мкр. гагарина, ул. проектная, д. 4",жк «идеал»
8320400.0,55.92311,37.77916,34.1,1.0,0.23809523809523808,,unknown,flat,avito,"мкр. 36, 36а, 37, стр. 5",жк «отрадный»
9232088.0,55.45458,37.27996,39.8,1.0,0.6666666666666666,,unknown,flat,avito,"ул. академика франка, стр. 2",жк «троицкий»
10214977.0,55.58222,37.15314,34.4,1.0,0.5,,new_building,flat,avito,"москва, новомосковский административный округ, район внуково, жилой комплекс квартал западный, 9",жк «квартал западный»
8840176.0,55.53345,37.87743,34.6,1.0,0.5833333333333334,,new_building,flat,avito,"московская область, ленинский городской округ, жилой комплекс богдановский лес, 10.2",жк «богдановский лес»
11973083.0,55.95205,37.46823,40.8,1.0,1.0,,new_building,flat,avito,"ул. олимпийская, корп. 5",жк «квартал ивакино»
7400000.0,55.89028168,37.41806412,30.0,1.0,0.8,1968.0,unknown,flat,avito,"московская обл., химки, ул. лавочкина, 18",unknown
